subject,subject name,topic,links,notes
CS,Computer Science,Intro to Algorithms and Data Structures,https://www.youtube.com/playlist?list=PLkToMFwOtNHiJtcBu0piSLKnLVGOF9vaV,MIT data structure and algorithms 2015
CS,Computer Science,Intro to Machine Learning,https://www.youtube.com/playlist?list=PLoROMvodv4rMiGQp3WXShtMGgzqpfVfbU,Stanford CS229: Machine Learning | Autumn 2018
CS,Computer Science,Intro to Artificial Intelligence,https://www.youtube.com/playlist?list=PLsOUugYMBBJENfZ3XAToMsg44W7LeUVhF,"UC Berkeley CS 188 Introduction to Artificial Intelligence, Fall 2018"
CS,Computer Science,Intro to C++,https://www.youtube.com/playlist?list=PLBBA9D02B544B48CB,c++ programming stanford
CS,Computer Science,Intro to Python,https://www.youtube.com/playlist?list=PL38986218EEA17EB3,MIT Python lecture
CS,Computer Science,Compiler Design,https://www.youtube.com/playlist?list=PLbMVogVj5nJTmKzaSlCpGgi7qxgcRRs8h,Computer Science - Compiler Design
CS,Computer Science,Computer Networks,https://www.youtube.com/playlist?list=PLiZf2KD7PRyKRs-oIXvQ5ooeOKTfPjbX7,MIT Computer Networks
CS,Computer Science,Computer Security,https://www.youtube.com/playlist?list=PLUl4u3cNGP62K2DjQLRxDNRi0z2IRWnNh,"MIT 6.858 Computer Systems Security, Fall 2014"
CS,Computer Science,Formal Automata,https://www.youtube.com/playlist?list=PL85CF9F4A047C7BF7,"Computer - Theory of Automata, Formal Languages and Computation"
ECON,Economics,Macroeconomics,https://www.youtube.com/playlist?list=PLdLiRaajwSXRcJxAeIHjVGukaJZoJtkXz,ECO 155: Principles of Macroeconomics
ECON,Economics,Microecnomics,https://www.youtube.com/playlist?list=PL61533C166E8B0028,MIT 14.01SC Principles of Microeconomics
ECON,Economics,Financial Accounting and Reporting,https://www.youtube.com/playlist?list=PLYrIr2-uY4ZVegyMNw37SLbIMvBvWHwU9,Financial Accounting and Reporting (FAR)
ECON,Economics,Econometrics,https://www.youtube.com/playlist?list=PLD15D38DC7AA3B737,Economics 421 - Econometrics - Winter 2011
ECON,Economics,"Money, Banking, and Credit",https://www.youtube.com/playlist?list=PLfM5miMMXX-qqwBQxbExbb_tBFEUS4Rg2,Banking
ECON,Economics,Financial Market,https://www.youtube.com/playlist?list=PL8FB14A2200B87185,Financial Markets (2011) with Robert Shiller
ECON,Economics,Labor and Public Economics,https://www.youtube.com/playlist?list=PL2SOU6wwxB0v3c46v2ptuDKIHmXHRAmeU,Econ 2450A Public Economics | Raj Chetty
ECON,Economics,Industrial Organization,https://www.youtube.com/playlist?list=PLTn74Qx5mPsTKgLj7Vd8mAwiBp_kGebNg,The 29th School in Economic Theory: Industrial Organization
ECON,Economics,Managerial Economics,https://www.youtube.com/playlist?list=PLB1AA191C14830C9A,Managerial Economics - MBA
ECON,Economics,Game Theory,https://www.youtube.com/playlist?list=PL5B3KLQNAC5hQ0ACZr2IRAYyCuKQF0yoF,Game Theory I - ECON 439
ENGL,English,Beginning Composition,https://www.youtube.com/playlist?list=PLmiiKbPDy3-GavZjX-FeU29ImhtI1YZZf,Composition (Lectures)
ENGL ,English,English Composition,https://www.youtube.com/playlist?list=PLJYD3IqnCF5nTh1PnEGJCHaJ4z8_WFXe8,ENGL 1101 Lectures
ENGL,English,Technical Writing,https://www.youtube.com/playlist?list=PLGHuut3eTJ_LutSQRL_Mkj6oxjFde5STx,ENGL 421Y: Spring 2017
ENGL ,English,Business and Technical English Writing,https://www.youtube.com/playlist?list=PLFX_EwFvKKWN1aQ_juu-_ftavvAy8IA0n,ENG201 - Business and Technical English Writing
ENGL,English,Creative Writing,https://www.youtube.com/playlist?list=PLRO9W1Nmh6clZP-IAhMeMpMru7vJaW7KJ,BYU Lecture - Brandon Sanderson’s ENGL 321 Class
ENGL,English,English Literature,https://www.youtube.com/playlist?list=PL9fwy3NUQKwYNxhPlUU9pxwfg8zlh4TPZ,Introduction To English Literature
ENGL,English,20th Century Poetry,https://www.youtube.com/playlist?list=PLdhj6SLAeoMTCie20ZuGZXnL9y8Zyt_UI,"MYCROFT POETRY LECTURES: 20th Century Poetry. Analysis and Explanation by Dr. Andrew Barker of Poetry used in Schools, Colleges and Universities."
ENGL,English,American Literature,https://www.youtube.com/playlist?list=PLE33BCD966FF96F23,The American Novel Since 1945 with Amy Hungerford
ENGL,English,American Literature,https://www.youtube.com/playlist?list=PLE094311E2D7A31CD,"Open Ed: Cyrus Patell, American Literature"
ENGL,English,Pre-Medieval Literature,https://www.youtube.com/playlist?list=PLasf5q6vxxRAFRbIyNLv5atvjfhKhLsZb,pre medieval literature
HIST,History,World History: Prehistory to 1800's,https://www.youtube.com/playlist?list=PL77A337915A76F660,"The Early Middle Ages, 284--1000 with Paul Freedman"
HIST,History,American History,https://www.youtube.com/playlist?list=PL5DD220D6A1282057,The Civil War and Reconstruction with David Blight
HIST,History,American History,https://www.youtube.com/playlist?list=PLDA2BC5E785D495AB,The American Revolution with Joanne B. Freeman
HIST,History,American History,https://www.youtube.com/playlist?list=PLh9mgdi4rNeyqnC6Gj5VCZERhhy9CC1S6,American History: From Emancipation to the Present
HIST,History,Ancient Greek History,https://www.youtube.com/playlist?list=PL023BCE5134243987,Introduction to Ancient Greek History with Donald Kagan
HIST,History,French History,https://www.youtube.com/playlist?list=PLE653BF062C136B62,France Since 1871 with John Merriman
HIST,History,European History,https://www.youtube.com/playlist?list=PL3A8E6CE294860A24,European Civiliization (1648-1945) with John Merriman
MATH,Math,Intermediate Algebra,https://www.youtube.com/playlist?list=PLC292123722B1B450,Professor Leonard Intermediate Algebra
MATH,Math,First-Year Calculus,https://www.youtube.com/playlist?list=PLF797E961509B4EB5,Professor Leonard Calculus 1
MATH,Math,Intermediate Calculus,https://www.youtube.com/playlist?list=PLaLOVNqqD-2GO9LGv7rMV_3-xkxrSs3ZO,NCSU: MA 241 - Calculus II
MATH,Math,Multivariable Calculus,https://www.youtube.com/playlist?list=PLaLOVNqqD-2H-pJSZpgD1btCLHW-eB-06,Stony Brook: MAT 307 - Multivariable Calculus with Linear Algebra
MATH,Math,Precalculus,https://www.youtube.com/playlist?list=PLYoxM3oLTvxLx7IF_6KbnphUUiuXdIO5U,Math 195 - Precalculus - CCNY - Spring 2019
MATH,Math,Intro to Mathematical Modeling,https://www.youtube.com/playlist?list=PLFFA35EF8CECBA074,Mathematical Modelling MIT
MATH,Math,Intermediate Analysis,https://www.youtube.com/playlist?list=PL54Pt_mZzBqjcodJ_GqXxqG1WCCmq433k,"UCLA Math 131A, Real Analysis"
MATH,Math,Game Theory,https://www.youtube.com/playlist?list=PL6EF60E1027E1A10B,Game Theory with Ben Polak
MATH,Math,Ordinary and Partial Differential Equations,https://www.youtube.com/playlist?list=PLtKWB-wrvn4kfvCiJUwiJtnqgTOJwtffi,Numerical methods of Ordinary and Partial Differential Equations
MATH,Math,Dervivatives and Limits,https://www.youtube.com/playlist?list=PLtawP77JnJLKXaoF5C0AkQfNzbqqAVnSQ,Chapter 2: Limits and derivatives
MATH ,Math,Integrals,https://www.youtube.com/playlist?list=PL1BE3027EF549C7D1,"Differential & Integral Calculus, Math 31A, UCLA [Complete]"
PHIL,Philosophy,Human Nature,https://www.youtube.com/playlist?list=PL3F6BC200B2930084,Philosophy and the Science of Human Nature w/ Tamar Gendler
PHIL,Philosophy,Critical Thinking and Logic,https://www.youtube.com/playlist?list=PLCF98418AFB59232D,Critical Thinking & Logic Lectures
PHIL,Philosophy,Ancient Greek or Roman Philosophy,https://www.youtube.com/playlist?list=PL9GwT4_YRZdBf9nIUHs0zjrnUVl-KBNSM,Arthur Holmes: A History of Philosophy
PHIL,Philosophy,Metaphysics,https://www.youtube.com/playlist?list=PLqK-cZS_wviDTgt-k81a9GNcgqQyh8bSr,Metaphysics: Royal Institute of Philosophy London Lecture Series 2016
PHIL,Philosophy,Philosophy of Language,https://www.youtube.com/playlist?list=PL8C19A595E537E3C9,Searle: Philosophy of Language
PHIL,Philosophy,Morality,https://www.youtube.com/playlist?list=PLQGV9ho3Qh_X8sTpAVUI5PqCWq1Y5suZ7,Introduction to Moral Philosophy with Johann Frick
PHIL,Philosophy,Justice,https://www.youtube.com/playlist?list=PL72C62342291D5DAE,Philosophy Lecture: Justice (Harvard University)
PHIL,Philosophy,Political Philosophy,https://www.youtube.com/playlist?list=PL8D95DEA9B7DFE825,Introduction to Political Philosophy with Steven B. Smith
PHIL,Philosophy,Death,https://www.youtube.com/playlist?list=PLEA18FAF1AD9047B0,Death with Shelly Kagan
PHYS,Physics,General Physics,https://www.youtube.com/playlist?list=PL561F7ACE736068D5,General physics 1
PHYS,Physics,Classical Mechanics,https://www.youtube.com/playlist?list=PL5E4E56893588CBA8,Core - Classical Physics
PHYS,Physics,Thermal Physics,https://www.youtube.com/playlist?list=PLcDlpDIJWDzgDpOZdjLcw1c7BdVkH_CkP,Thermal and Statistical Physics 1 Lecture videos
PHYS,Physics,Electricity and Magnetism,https://www.youtube.com/playlist?list=PLr3m114zA5dHPK-ckNW_QvikiVgrLzqrW,Yale Physics II Electricity & Magnetism
PHYS,Physics,Quantum Mechanics,https://www.youtube.com/playlist?list=PLUl4u3cNGP61-9PEhRognw5vryrSEVLPr,"MIT 8.04 Quantum Physics I, Spring 2013 (2013)"
PSYC,Psychology,Psychological Methods: Research Procedures,https://www.youtube.com/playlist?list=PLDCmXGWulSusq6-clVrxM23AGRmjLc4yt,Introduction to Laboratory Research Methods in Psychology
PSYC,Psychology,Introductory Psychology,https://www.youtube.com/playlist?list=PL6A08EB4EEFF3E91F,Introduction to Psychology with Paul Bloom
PSYC,Psychology,Introductory Psychology,https://www.youtube.com/playlist?list=PL44ABC9278E2EE706,"MIT 9.00SC Introduction to Psychology, Fall 2011"
PSYC,Psychology,Brain and Behavior,https://www.youtube.com/playlist?list=PLtXCbh6IFA7QCsei-t8WesusKi8I2LXUJ,"Brain and Behavior, Wendy Suzuki, NYU"
PSYC,Psychology,Brain and Behavior,https://www.youtube.com/playlist?list=PLwi8cLspBQloHSEcbHkiELpl1jgOBDgx0,Stanford - Conscious and Psychology
PSYC,Psychology,Industrial & Organization Psychology,https://www.youtube.com/playlist?list=PL-irEQGC4gQcFeOnDmKKbrK9JBF5ArLxF,I/O PSYCH LECTURES
PSYC,Psychology,Industrial & Organization Psychology,https://www.youtube.com/playlist?list=PLWa_ma1ggOHIXVLceYk78br_y6JxAJZq-,Industrial-Organizational Psychology Lectures
PSYC,Psychology,Personality,https://www.youtube.com/playlist?list=PLgJ_-T1s8kRjThw2DojoHWzP6fqCJiOG-,Psych LECTURES
PSYC,Psychology,Social Psychology,https://www.youtube.com/playlist?list=PL82A8739615760555,"Social Psychology Lecture by Matthew Lieberman, Ph.D"
PSYC,Psychology,Statistical Psychology,https://www.youtube.com/playlist?list=PLjVTclZ459K5bkRkek9rIgGoe9gHvZ3io,Psych Statistics - NYU
PSYC,Psychology,Developmental Psychology,https://www.youtube.com/playlist?list=PL5B3KLQNAC5gn9TwYgc19UwdWYuffnXjC,Developmental Psychology - PSYC 240
PSYC,Psychology,Developmental Psychology,https://www.youtube.com/playlist?list=PLasf5q6vxxRAousqGXcji4o9GfwF-yaNE,Developmental Psychology - PSYC 250 (NDSU SU2017)
PSYC,Psychology,Cognitive Psychology,https://www.youtube.com/playlist?list=PL79CBC3BB6EB6A2D0,Introduction to Cognitive Psychology
PSYC,Psychology,Evolutionary Psychology,https://www.youtube.com/playlist?list=PLMwddpZ_3nkAWijQlBnkwnr9wfcuderVe,"Human Behavioral Biology, Evolutionary Psychology - Robert Sapolsky, Stanford University"
PSYC,Psychology,Abnormal Psychology,https://www.youtube.com/playlist?list=PLoajPXQqU0rGQ2z-UEZVk8wtTNQHEZqdu,Abnormal Psychology Lecture Series
PSYC,Psychology,Clinical Psychology,https://www.youtube.com/playlist?list=PLjjVfXgqEfhgT8As4ZsNetrVoFQIG6Xcg,INT. TO CLINICAL PSYCHOLOGY (COURSE) U.H
PSYC,Psychology,Cultural Psychology,https://www.youtube.com/playlist?list=PL5000C8B6C858E277,PSYC 2344
PSYC,Psychology,Emotional Psychology,https://www.youtube.com/playlist?list=PLh9mgdi4rNewieO9Dsj-OhNBC9bF4FoRp,Human Emotion with June Gruber
